country,type,release_year,total_titles
Netherlands,TV Show,2020,2
New Zealand,Movie,2015,2
Nigeria,Movie,2013,2
Nigeria,Movie,2021,2
Nigeria,TV Show,2017,2
Nigeria,TV Show,2018,2
Nigeria,TV Show,2021,2
Norway,Movie,2016,2
Norway,Movie,2020,2
"Norway, Iceland, United States",Movie,2018,2
Pakistan,Movie,2015,2
Peru,Movie,2017,2
Poland,Movie,2017,2
Poland,Movie,2021,2
Poland,TV Show,2021,2
Romania,Movie,2019,2
Russia,TV Show,2018,2
Russia,TV Show,2019,2
Saudi Arabia,Movie,2020,2
Singapore,TV Show,2012,2
Singapore,TV Show,2016,2
South Africa,Movie,2012,2
South Africa,Movie,2013,2
South Africa,Movie,2015,2
South Africa,Movie,2018,2
South Africa,Movie,2020,2
"South Africa, United States",Movie,2015,2
South Korea,TV Show,2010,2
"South Korea, United States",TV Show,2018,2
Spain,TV Show,2013,2
Spain,TV Show,2016,2
Sweden,Movie,2016,2
Sweden,Movie,2021,2
Sweden,TV Show,2017,2
Sweden,TV Show,2019,2
Sweden,TV Show,2020,2
"Sweden, United States",Movie,2016,2
Taiwan,Movie,2019,2
Taiwan,TV Show,2002,2
Taiwan,TV Show,2004,2
Taiwan,TV Show,2005,2
Thailand,Movie,2007,2
Thailand,Movie,2009,2
Thailand,Movie,2015,2
Thailand,Movie,2018,2
Thailand,Movie,2021,2
Thailand,TV Show,2015,2
Thailand,TV Show,2017,2
Thailand,TV Show,2021,2
Turkey,Movie,2004,2
Turkey,Movie,2005,2
Turkey,Movie,2006,2
Turkey,Movie,2021,2
United Arab Emirates,Movie,2016,2
United Kingdom,Movie,1998,2
United Kingdom,Movie,2010,2
United Kingdom,Movie,2012,2
United Kingdom,TV Show,2006,2
United Kingdom,TV Show,2008,2
United Kingdom,TV Show,2009,2
"United Kingdom, Canada",TV Show,2019,2
"United Kingdom, Canada, United States",Movie,2017,2
"United Kingdom, France",Movie,2015,2
"United Kingdom, France, United States",Movie,2015,2
"United Kingdom, Germany",Movie,2012,2
"United Kingdom, Japan, United States",Movie,1992,2
"United Kingdom, United States",Movie,2008,2
"United Kingdom, United States",Movie,2009,2
"United Kingdom, United States",Movie,2011,2
"United Kingdom, United States",Movie,2012,2
"United Kingdom, United States",Movie,2014,2
"United Kingdom, United States",Movie,2015,2
"United Kingdom, United States",Movie,2017,2
"United Kingdom, United States",TV Show,2017,2
"United Kingdom, United States",TV Show,2019,2
"United Kingdom, United States",TV Show,2020,2
